SensorDataId,Timestamp,PercentageWater,StationId,LocationName,Latitude,Longitude,LocationType
20608,47:58.0,70.02,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20608,47:58.0,70.02,GUFEW040,Daudpur,26.740212,83.374497,Nala
20607,45:58.0,19.3,GUFEW075,Jhankar Talkies Road / Minara Masjid,26.75407168,83.35889263,Nala
20606,45:58.0,65.19,GUFEW066,"Panchavati Apartment, Daudpur",26.74205174,83.3736721,Nala
20606,45:58.0,65.19,GUFEW066,"Panchavati Apartment, Daudpur.",26.74205174,83.3736721,Nala
20605,32:58.0,70.06,GUFEW040,Daudpur,26.740212,83.374497,Nala
20605,32:58.0,70.06,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20604,17:58.0,70.12,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20604,17:58.0,70.12,GUFEW040,Daudpur,26.740212,83.374497,Nala
20603,02:58.0,70.08,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20603,02:58.0,70.08,GUFEW040,Daudpur,26.740212,83.374497,Nala
20602,47:58.0,69.7,GUFEW040,Daudpur,26.740212,83.374497,Nala
20602,47:58.0,69.7,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20601,32:58.0,70.3,GUFEW040,Daudpur,26.740212,83.374497,Nala
20601,32:58.0,70.3,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20600,30:58.0,18.38,GUFEW075,Jhankar Talkies Road / Minara Masjid,26.75407168,83.35889263,Nala
20599,30:58.0,64.83,GUFEW066,"Panchavati Apartment, Daudpur.",26.74205174,83.3736721,Nala
20599,30:58.0,64.83,GUFEW066,"Panchavati Apartment, Daudpur",26.74205174,83.3736721,Nala
20598,17:58.0,69.99,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20598,17:58.0,69.99,GUFEW040,Daudpur,26.740212,83.374497,Nala
20597,02:58.0,70.27,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20597,02:58.0,70.27,GUFEW040,Daudpur,26.740212,83.374497,Nala
20596,47:58.0,70.14,GUFEW040,Daudpur,26.740212,83.374497,Nala
20596,47:58.0,70.14,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20595,32:58.0,69.85,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20595,32:58.0,69.85,GUFEW040,Daudpur,26.740212,83.374497,Nala
20594,17:57.0,69.93,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20594,17:57.0,69.93,GUFEW040,Daudpur,26.740212,83.374497,Nala
20592,15:58.0,18.83,GUFEW075,Jhankar Talkies Road / Minara Masjid,26.75407168,83.35889263,Nala
20591,15:58.0,64.81,GUFEW066,"Panchavati Apartment, Daudpur.",26.74205174,83.3736721,Nala
20591,15:58.0,64.81,GUFEW066,"Panchavati Apartment, Daudpur",26.74205174,83.3736721,Nala
20590,02:57.0,69.82,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20590,02:57.0,69.82,GUFEW040,Daudpur,26.740212,83.374497,Nala
20588,47:57.0,69.97,GUFEW040,Daudpur,26.740212,83.374497,Nala
20588,47:57.0,69.97,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20586,32:57.0,70.1,GUFEW040,Daudpur,26.740212,83.374497,Nala
20586,32:57.0,70.1,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20584,17:57.0,69.69,GUFEW040,Daudpur,26.740212,83.374497,Nala
20584,17:57.0,69.69,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20582,02:57.0,69.94,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20582,02:57.0,69.94,GUFEW040,Daudpur,26.740212,83.374497,Nala
20580,00:58.0,17.33,GUFEW075,Jhankar Talkies Road / Minara Masjid,26.75407168,83.35889263,Nala
20579,00:58.0,64.14,GUFEW066,"Panchavati Apartment, Daudpur",26.74205174,83.3736721,Nala
20579,00:58.0,64.14,GUFEW066,"Panchavati Apartment, Daudpur.",26.74205174,83.3736721,Nala
20578,47:57.0,70.16,GUFEW040,Daudpur,26.740212,83.374497,Nala
20578,47:57.0,70.16,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20576,32:57.0,69.69,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20576,32:57.0,69.69,GUFEW040,Daudpur,26.740212,83.374497,Nala
20574,17:57.0,69.81,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20574,17:57.0,69.81,GUFEW040,Daudpur,26.740212,83.374497,Nala
20572,02:57.0,69.74,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20572,02:57.0,69.74,GUFEW040,Daudpur,26.740212,83.374497,Nala
20570,00:53.0,70.52,GUFEW079,"Mandi Rd, Mahuesugharpur",26.73148477,83.36310874,Nala
20569,47:57.0,69.9,GUFEW040,Daudpur,26.740212,83.374497,Nala
20569,47:57.0,69.9,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20567,45:53.0,69.75,GUFEW079,"Mandi Rd, Mahuesugharpur",26.73148477,83.36310874,Nala
20566,45:58.0,18.23,GUFEW075,Jhankar Talkies Road / Minara Masjid,26.75407168,83.35889263,Nala
20565,45:58.0,64.74,GUFEW066,"Panchavati Apartment, Daudpur.",26.74205174,83.3736721,Nala
20565,45:58.0,64.74,GUFEW066,"Panchavati Apartment, Daudpur",26.74205174,83.3736721,Nala
20564,32:57.0,70.01,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20564,32:57.0,70.01,GUFEW040,Daudpur,26.740212,83.374497,Nala
20562,30:53.0,70.53,GUFEW079,"Mandi Rd, Mahuesugharpur",26.73148477,83.36310874,Nala
20561,17:57.0,69.96,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20561,17:57.0,69.96,GUFEW040,Daudpur,26.740212,83.374497,Nala
20559,15:53.0,69.46,GUFEW079,"Mandi Rd, Mahuesugharpur",26.73148477,83.36310874,Nala
20558,02:57.0,69.75,GUFEW040,Daudpur,26.740212,83.374497,Nala
20558,02:57.0,69.75,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20556,00:53.0,70.16,GUFEW079,"Mandi Rd, Mahuesugharpur",26.73148477,83.36310874,Nala
20555,47:57.0,69.96,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20555,47:57.0,69.96,GUFEW040,Daudpur,26.740212,83.374497,Nala
20553,45:53.0,70.37,GUFEW079,"Mandi Rd, Mahuesugharpur",26.73148477,83.36310874,Nala
20551,32:57.0,70.11,GUFEW040,Daudpur,26.740212,83.374497,Nala
