Id,StationId,LocationId,TimeStamp,MobileNumber,Battery,RainHourly,RainDaily,CreatedDate,IsApproved,0-33-020,0-33-005,0-08-083,DetailedQCFlag
5019,GUFEW112,19,2024-10-29 18:45:00.0000000,,11.50,0.00,0.00,2024-10-29 18:59:32.000,1,0,0,NULL,1
5033,GUFEW112,19,2024-10-29 20:30:00.0000000,,11.40,0.00,0.00,2024-10-29 20:44:33.000,1,0,0,NULL,1
5044,GUFEW111,18,2024-10-29 22:00:00.0000000," 9876543210",11.30,0.00,0.00,2024-10-29 22:14:33.000,1,0,0,NULL,1
5045,GUFEW112,19,2024-10-29 22:00:00.0000000,,11.30,0.00,0.00,2024-10-29 22:14:33.000,1,0,0,NULL,1
5063,GUFEW111,18,2024-10-30 00:15:00.0000000," 9876543210",11.30,0.00,0.00,2024-10-30 00:44:33.000,1,0,0,NULL,1
5064,GUFEW111,18,2024-10-30 00:30:00.0000000," 9876543210",11.30,0.00,0.00,2024-10-30 00:44:33.000,1,0,0,NULL,1
5065,GUFEW112,19,2024-10-30 00:30:00.0000000,,11.30,0.00,0.00,2024-10-30 00:44:33.000,1,0,0,NULL,1
5076,GUFEW112,19,2024-10-30 01:45:00.0000000,,11.20,0.00,0.00,2024-10-30 02:14:33.000,1,0,0,NULL,1
5077,GUFEW112,19,2024-10-30 02:00:00.0000000,,11.20,0.00,0.00,2024-10-30 02:14:33.000,1,0,0,NULL,1
5075,GUFEW111,18,2024-10-30 02:00:00.0000000," 9876543210",11.30,0.00,0.00,2024-10-30 02:14:33.000,1,0,0,NULL,1
5081,GUFEW111,18,2024-10-30 02:30:00.0000000," 9876543210",11.30,0.00,0.00,2024-10-30 03:14:32.000,1,0,0,NULL,1
5082,GUFEW111,18,2024-10-30 02:45:00.0000000," 9876543210",11.30,0.00,0.00,2024-10-30 03:14:32.000,1,0,0,NULL,1
5083,GUFEW111,18,2024-10-30 03:00:00.0000000," 9876543210",11.20,0.00,0.00,2024-10-30 03:14:32.000,1,0,0,NULL,1
5087,GUFEW112,19,2024-10-30 02:45:00.0000000,,11.20,0.00,0.00,2024-10-30 03:59:32.000,1,0,0,NULL,1
5088,GUFEW112,19,2024-10-30 03:00:00.0000000,,11.20,0.00,0.00,2024-10-30 03:59:32.000,1,0,0,NULL,1
5089,GUFEW112,19,2024-10-30 03:15:00.0000000,,11.20,0.00,0.00,2024-10-30 03:59:32.000,1,0,0,NULL,1
5090,GUFEW112,19,2024-10-30 03:30:00.0000000,,11.20,0.00,0.00,2024-10-30 03:59:32.000,1,0,0,NULL,1
5085,GUFEW111,18,2024-10-30 03:30:00.0000000," 9876543210",11.10,0.00,0.00,2024-10-30 03:59:32.000,1,0,0,NULL,1
5086,GUFEW111,18,2024-10-30 03:45:00.0000000," 9876543210",11.20,0.00,0.00,2024-10-30 03:59:32.000,1,0,0,NULL,1
5091,GUFEW112,19,2024-10-30 03:45:00.0000000,,11.20,0.00,0.00,2024-10-30 03:59:32.000,1,0,0,NULL,1
5101,GUFEW112,19,2024-10-30 05:00:00.0000000,,11.10,0.00,0.00,2024-10-30 05:29:33.000,1,0,0,NULL,1
5102,GUFEW112,19,2024-10-30 05:15:00.0000000,,11.10,0.00,0.00,2024-10-30 05:29:33.000,1,0,0,NULL,1
5108,GUFEW111,18,2024-10-30 06:00:00.0000000," 9876543210",11.10,0.00,0.00,2024-10-30 06:14:33.000,1,0,0,NULL,1
5109,GUFEW112,19,2024-10-30 06:00:00.0000000,,11.10,0.00,0.00,2024-10-30 06:14:33.000,1,0,0,NULL,1
5122,GUFEW112,19,2024-10-30 07:15:00.0000000,,11.80,0.00,0.00,2024-10-30 08:14:33.000,1,0,0,NULL,1
5123,GUFEW112,19,2024-10-30 07:30:00.0000000,,12.10,0.00,0.00,2024-10-30 08:14:33.000,1,0,0,NULL,1
5124,GUFEW112,19,2024-10-30 07:45:00.0000000,,12.00,0.00,0.00,2024-10-30 08:14:33.000,1,0,0,NULL,1
5125,GUFEW112,19,2024-10-30 08:00:00.0000000,,12.00,0.00,0.00,2024-10-30 08:14:33.000,1,0,0,NULL,1
5121,GUFEW111,18,2024-10-30 08:00:00.0000000," 9876543210",12.10,0.00,0.00,2024-10-30 08:14:33.000,1,0,0,NULL,1
5128,GUFEW112,19,2024-10-30 08:30:00.0000000,,12.00,0.00,0.00,2024-10-30 08:44:33.000,1,0,0,NULL,1
5130,GUFEW112,19,2024-10-30 09:00:00.0000000,,12.10,0.00,0.00,2024-10-30 09:14:33.000,1,0,0,NULL,1
5148,GUFEW111,18,2024-10-30 11:00:00.0000000," 9876543210",12.40,0.00,0.00,2024-10-30 11:14:33.000,1,0,0,NULL,1
5149,GUFEW111,18,2024-10-30 11:15:00.0000000," 9876543210",12.40,0.00,0.00,2024-10-30 11:29:33.000,1,0,0,NULL,1
5168,GUFEW112,19,2024-10-30 13:30:00.0000000,,12.60,0.00,0.00,2024-10-30 13:34:33.000,1,0,0,NULL,1
5170,GUFEW111,18,2024-10-30 13:45:00.0000000," 9876543210",12.40,0.00,0.00,2024-10-30 14:14:33.000,1,0,0,NULL,1
5172,GUFEW112,19,2024-10-30 13:45:00.0000000,,12.70,0.00,0.00,2024-10-30 14:14:33.000,1,0,0,NULL,1
5173,GUFEW112,19,2024-10-30 14:00:00.0000000,,12.70,0.00,0.00,2024-10-30 14:14:33.000,1,0,0,NULL,1
5171,GUFEW111,18,2024-10-30 14:00:00.0000000," 9876543210",12.40,0.00,0.00,2024-10-30 14:14:33.000,1,0,0,NULL,1
5220,GUFEW111,18,2024-10-30 19:30:00.0000000," 9876543210",11.40,0.00,0.00,2024-10-30 21:04:33.000,1,0,0,NULL,1
5221,GUFEW111,18,2024-10-30 19:45:00.0000000," 9876543210",11.40,0.00,0.00,2024-10-30 21:04:33.000,1,0,0,NULL,1
5222,GUFEW111,18,2024-10-30 20:00:00.0000000," 9876543210",11.40,0.00,0.00,2024-10-30 21:04:33.000,1,0,0,NULL,1
5223,GUFEW111,18,2024-10-30 20:15:00.0000000," 9876543210",11.40,0.00,0.00,2024-10-30 21:04:33.000,1,0,0,NULL,1
5224,GUFEW111,18,2024-10-30 20:30:00.0000000," 9876543210",11.40,0.00,0.00,2024-10-30 21:04:33.000,1,0,0,NULL,1
5226,GUFEW112,19,2024-10-30 20:30:00.0000000,,11.30,0.00,0.00,2024-10-30 21:04:33.000,1,0,0,NULL,1
5227,GUFEW112,19,2024-10-30 20:45:00.0000000,,11.40,0.00,0.00,2024-10-30 21:04:33.000,1,0,0,NULL,1
