clientid,latitude,longitude,location,block,district,rain,temp,wind,winddirection,humidity,ldate,CreatedDate,IsApproved,0-33-020,0-33-005,0-08-083,DetailedQCFlag,Id
10217,26.801445,83.39245,BLOCK CAMPUS,CHARGAWAN,Gorakhpur,0,32.1,0,0,58.3,10/29/2024 16:00,10/29/2024 16:27,1,0,0,NULL,1,56234
20259,26.747665,83.369354,TEHSIL CAMPUS,SDADR,Gorakhpur,0,32,0,17,60.7,10/29/2024 17:00,10/29/2024 17:42,1,0,0,NULL,1,56918
10220,26.718021,83.43794,BLOCK CAMPUS,KHORABAR,Gorakhpur,0,32.2,0,0,55.8,10/29/2024 17:00,10/29/2024 17:42,1,0,0,NULL,1,56920
10275,26.748125,83.2443,P KALESHR,PIPRAULI,Gorakhpur,0,33.1,0,0,57,10/29/2024 17:00,10/29/2024 17:42,1,0,0,NULL,1,56925
10284,26.678059,83.338646,P M V PITHORA,PIPRAULI,Gorakhpur,0,31.2,0,0,61.3,10/29/2024 17:00,10/29/2024 17:42,1,0,0,NULL,1,56932
20254,26.821049,83.37227,G P MANBELA,CHARGAMA,Gorakhpur,0,31.1,0,254,66.5,10/29/2024 17:00,10/29/2024 17:42,1,0,0,NULL,1,56933
10288,26.81268,83.4905,P PATRA,BHATHAT,Gorakhpur,0,31.3,0,0,65.1,10/29/2024 17:00,10/29/2024 17:42,1,0,0,NULL,1,56935
10217,26.801445,83.39245,BLOCK CAMPUS,CHARGAWAN,Gorakhpur,0,31.2,0,0,63.2,10/29/2024 17:00,10/29/2024 17:42,1,0,0,NULL,1,56942
10262,26.508465,83.346954,VILL-PALIKHAS-1,BANSGAON,Gorakhpur,0,31.5,0,0,64.6,10/29/2024 17:00,10/29/2024 17:42,1,0,0,NULL,1,56952
10281,26.75619,83.37823,JILA PRASHASAN KARYALAY CAMPUS,SADAR,Gorakhpur,0,31.5,0,0,64.7,10/29/2024 17:00,10/29/2024 17:42,1,0,0,NULL,1,56960
10286,26.776062,83.49859,P SARANDA,SADAR,Gorakhpur,0,31.6,0,0,62.8,10/29/2024 17:00,10/29/2024 17:42,1,0,0,NULL,1,56975
10293,26.87895,83.432465,P KHUTHAN KHAS,CHARGANWA,Gorakhpur,0,33,0,0,62.4,10/29/2024 17:00,10/29/2024 17:42,1,0,0,NULL,1,56986
10263,26.548183,83.27948,VILL-MASURIYAN,URUWA,Gorakhpur,0,31.2,0,0,66.2,10/29/2024 17:00,10/29/2024 17:42,1,0,0,NULL,1,56990
10265,26.871763,83.35824,VILL-PARMESHWARPUR,CHARGAWAN,Gorakhpur,0,32.4,0,0,58.9,10/29/2024 17:00,10/29/2024 17:42,1,0,0,NULL,1,56993
10217,26.801445,83.39245,BLOCK CAMPUS,CHARGAWAN,Gorakhpur,0,30.3,0,0,66.7,10/29/2024 17:30,10/29/2024 17:57,1,0,0,NULL,1,57002
10262,26.508465,83.346954,VILL-PALIKHAS-1,BANSGAON,Gorakhpur,0,31.1,0,0,66.6,10/29/2024 17:30,10/29/2024 17:57,1,0,0,NULL,1,57012
10281,26.75619,83.37823,JILA PRASHASAN KARYALAY CAMPUS,SADAR,Gorakhpur,0,31.2,0,0,65.7,10/29/2024 17:30,10/29/2024 17:57,1,0,0,NULL,1,57020
10286,26.776062,83.49859,P SARANDA,SADAR,Gorakhpur,0,31,0,0,63.3,10/29/2024 17:30,10/29/2024 17:57,1,0,0,NULL,1,57035
10293,26.87895,83.432465,P KHUTHAN KHAS,CHARGANWA,Gorakhpur,0,31.5,0,0,66.9,10/29/2024 17:30,10/29/2024 17:57,1,0,0,NULL,1,57046
10263,26.548183,83.27948,VILL-MASURIYAN,URUWA,Gorakhpur,0,30.7,0,0,70.2,10/29/2024 17:30,10/29/2024 17:57,1,0,0,NULL,1,57049
10265,26.871763,83.35824,VILL-PARMESHWARPUR,CHARGAWAN,Gorakhpur,0,32.1,0,0,61.3,10/29/2024 17:30,10/29/2024 17:57,1,0,0,NULL,1,57052
20259,26.747665,83.369354,TEHSIL CAMPUS,SDADR,Gorakhpur,0,31.6,0,332,61.1,10/29/2024 17:30,10/29/2024 17:57,1,0,0,NULL,1,57056
10220,26.718021,83.43794,BLOCK CAMPUS,KHORABAR,Gorakhpur,0,29.2,0,0,68.5,10/29/2024 17:30,10/29/2024 17:57,1,0,0,NULL,1,57058
10284,26.678059,83.338646,P M V PITHORA,PIPRAULI,Gorakhpur,0,30.3,0,0,65.6,10/29/2024 17:30,10/29/2024 17:57,1,0,0,NULL,1,57069
20254,26.821049,83.37227,G P MANBELA,CHARGAMA,Gorakhpur,0,29.9,0,241,68.9,10/29/2024 17:30,10/29/2024 17:57,1,0,0,NULL,1,57072
